@month@day@message
0@1@2@Tu comportamiento: Consumo normal, debido a: Humedad media en la mañana y noche, y baja en la tarde; temperaturas bajas, cerca a los 5°C; lloviznas durante el día
1@1@3@Tu comportamiento: Consumo normal, debido a: Humedad alta en la mañana y media en la tarde y noche; temperaturas bajas, cerca a los 5°C; lloviznas durante el día
2@1@4@Tu comportamiento: Consumo normal, debido a: Humedad media en la mañana y noche, y baja en la tarde; clima frío durante el día, con temperaturas bajo cero; lloviznas durante el día
3@1@5@Tu comportamiento: Consumo normal, debido a: Humedad media en la mañana y noche, y baja en la tarde; clima frío durante el día, con temperaturas bajo cero; lloviznas durante el día
4@1@6@Tu comportamiento: Consumo normal, debido a: Humedad media en la mañana y noche, y baja en la tarde; clima frío, con mínimos de hasta -10°C en la mañana y 7°C en la tarde; lloviznas durante el día
5@1@7@Tu comportamiento: Consumo normal, debido a: Humedad alta en la mañana y noche, y baja en la tarde; clima frío, con mínimos de hasta -10°C en la mañana y 7°C en la tarde; lloviznas durante el día
6@1@8@Tu comportamiento: Consumo normal, debido a: Humedad alta en la mañana y noche, y baja en la tarde; clima frío, con mínimos de hasta -10°C en la mañana y 7°C en la tarde; lloviznas durante el día
7@1@9@Tu comportamiento: Consumo normal, debido a: Humedad alta durante el día; temperaturas bajas, cerca a los 5°C; lloviznas durante el día
8@1@10@Tu comportamiento: Consumo normal, debido a: Humedad alta durante el día; clima templado en la mañana (10°C aprox.) y tardes más cálidas (17°C aprox.); lluvias en la mañana y lloviznas en la tarde
9@1@11@Tu comportamiento: Consumo normal, debido a: Humedad media en la mañana y noche, y baja en la tarde; clima frío durante el día, con temperaturas bajo cero; lloviznas durante el día
10@1@12@Tu comportamiento: Consumo normal, debido a: Humedad alta, que disminuye en la mañana hasta mediodía y aumenta en la tarde; clima frío, con mínimos de hasta -10°C en la mañana y 7°C en la tarde; lloviznas durante el día
11@1@13@Tu comportamiento: Consumo normal, debido a: Humedad media en la mañana y noche, y baja en la tarde; clima frío durante el día, con temperaturas bajo cero; lloviznas durante el día
12@1@14@Tu comportamiento: Consumo normal, debido a: Humedad alta, que disminuye en la mañana hasta mediodía y aumenta en la tarde; clima frío durante el día, con temperaturas bajo cero; lloviznas durante el día
13@1@15@Tu comportamiento: Consumo normal, debido a: Humedad alta, que disminuye en la mañana hasta mediodía y aumenta en la tarde; temperaturas bajas, cerca a los 5°C; lloviznas durante el día
14@1@16@Tu comportamiento: Consumo normal, debido a: Humedad alta durante el día; temperaturas bajas, cerca a los 5°C; lluvias en la madrugada y lloviznas el resto del día
15@1@17@Tu comportamiento: Consumo normal, debido a: Humedad baja en la mañana y noche, y alta en la tarde; temperaturas bajas, cerca a los 5°C; lloviznas durante el día
16@1@18@Tu comportamiento: Consumo normal, debido a: Humedad alta en la mañana, baja en la tarde y media en la noche; clima frío durante el día, con temperaturas bajo cero; lloviznas durante el día
17@1@19@Tu comportamiento: Consumo normal, debido a: Humedad baja en la mañana, y media en la tarde y noche; clima frío durante el día, con temperaturas bajo cero; lloviznas durante el día
